User,Title,Rating
79villemo,Nie jesteś sobą,7.0
79villemo,Pożyczony narzeczony,5.0
79villemo,Szare ogrody,7.0
79villemo,Tajemnica Filomeny,6.0
79villemo,Percy Jackson: Morze potworów,6.0
79villemo,Koszmar z ulicy Wiązów,6.0
79villemo,Film o pszczołach,6.0
79villemo,Locke,7.0
79villemo,Tajemnica Zielonego Królestwa,6.0
79villemo,Pamięć absolutna,6.0
79villemo,Radio,7.0
79villemo,Porwanie,5.0
79villemo,Surferka z charakterem,6.0
79villemo,Colombiana,6.0
79villemo,Stoker,6.0
79villemo,Lemony Snicket: Seria niefortunnych zdarzeń,7.0
79villemo,Osobliwy dom Pani Peregrine,7.0
79villemo,Ósmoklasiści nie płaczą,6.0
79villemo,Dróżnik,6.0
79villemo,Willow,6.0
79villemo,Rozłączeni,7.0
79villemo,Ratując pana Banksa,7.0
79villemo,Księga dżungli,6.0
79villemo,Ojcowie i córki,6.0
79villemo,Mustang,7.0
79villemo,Absolwent,7.0
79villemo,Biała Masajka,6.0
79villemo,Noce w Rodanthe,6.0
79villemo,Świadek koronny,6.0
79villemo,Bezpieczna przystań,7.0
79villemo,Sylwester w Nowym Jorku,6.0
79villemo,Sekretne życie zwierzaków domowych,7.0
79villemo,Człowiek na krawędzi,6.0
79villemo,Olimp w ogniu,6.0
79villemo,Sztuka latania,6.0
79villemo,Gorzkie gody,6.0
79villemo,"Nie kłam, kochanie",5.0
79villemo,Zbuntowana,7.0
79villemo,Pod Mocnym Aniołem,6.0
79villemo,Królewna Śnieżka i Łowca,6.0
79villemo,Galerianki,5.0
79villemo,Next,6.0
79villemo,Legalna blondynka,5.0
79villemo,Kac Vegas,7.0
79villemo,Więzień labiryntu: Próby ognia,6.0
79villemo,Iluzja 2,7.0
79villemo,Salt,6.0
79villemo,Equilibrium,6.0
79villemo,Królowa XXX,6.0
79villemo,Julie i Julia,6.0
79villemo,Wrogowie publiczni,8.0
79villemo,Dziedzictwo Bourne'a,7.0
79villemo,Chrzest,6.0
79villemo,Ocean's Twelve: Dogrywka,7.0
79villemo,Seksmisja,6.0
79villemo,Sami swoi,6.0
79villemo,Zostawić Las Vegas,7.0
79villemo,Jason Bourne,6.0
79villemo,Obecność,7.0
79villemo,PitBull,6.0
79villemo,Niech będzie teraz,7.0
79villemo,Wodny świat,
79villemo,Spadkobiercy,6.0
79villemo,Niemoralna propozycja,7.0
79villemo,I kto to mówi,6.0
79villemo,Kod Merkury,6.0
79villemo,Sara,6.0
79villemo,Tunel,6.0
79villemo,"Galimatias, czyli kogel-mogel II",7.0
79villemo,Ze śmiercią jej do twarzy,6.0
79villemo,Na żywo,6.0
79villemo,Kandydat,6.0
79villemo,Bezsenność w Seattle,6.0
79villemo,Cztery wesela i pogrzeb,6.0
79villemo,Desperado,6.0
79villemo,G.I. Jane,6.0
79villemo,Szakal,6.0
79villemo,Testament młodości,7.0
79villemo,Jackie Brown,6.0
79villemo,Morderstwo doskonałe,6.0
79villemo,Dzika droga,6.0
79villemo,Sobowtór diabła,6.0
79villemo,"Kłamca, kłamca",6.0
79villemo,Con Air - lot skazańców,6.0
79villemo,Krzyk,6.0
79villemo,Francuska suita,6.0
79villemo,Małe dzieci,6.0
79villemo,Kontakt,6.0
79villemo,Za wcześnie umierać,6.0
79villemo,Sekret jej oczu,6.0
79villemo,Osiem milimetrów,7.0
79villemo,Bodyguard,6.0
79villemo,Anna i król,6.0
79villemo,W lepszym świecie,7.0
79villemo,Wkręceni,5.0
79villemo,"Job, czyli ostatnia szara komórka",4.0
79villemo,Remedium,8.0
79villemo,Zabić wspomnienia,6.0
79villemo,Aż poleje się krew,6.0
79villemo,Body/Ciało,6.0
79villemo,Kamerdyner,7.0
79villemo,"Love, Rosie",7.0
79villemo,Dla ciebie wszystko,7.0
79villemo,Cudowne tu i teraz,5.0
79villemo,Złodziej życia,6.0
79villemo,Tytani,7.0
79villemo,Nienawistna ósemka,7.0
79villemo,Życie od kuchni,6.0
79villemo,Obecność 2,7.0
79villemo,Incredible Hulk,7.0
79villemo,Całkiem zabawna historia,5.0
79villemo,"Na pewno, być może",6.0
79villemo,Jurassic World,6.0
79villemo,Zdarzenie,5.0
79villemo,Poznaj moich rodziców,6.0
79villemo,Więzień labiryntu,6.0
79villemo,Looper - Pętla czasu,6.0
79villemo,World War Z,6.0
79villemo,Piorun,6.0
79villemo,Plan lotu,6.0
79villemo,"Jedz, módl się, kochaj",6.0
79villemo,Rzeź,7.0
79villemo,Komórka,6.0
79villemo,Happy Feet: Tupot małych stóp,7.0
79villemo,Thor,6.0
79villemo,Lincz,7.0
79villemo,Przeznaczenie,6.0
79villemo,"To nie tak jak myślisz, kotku",5.0
79villemo,Blue Jasmine,7.0
79villemo,Scoop - Gorący temat,6.0
79villemo,Sezon na misia,6.0
79villemo,Ekspres polarny,7.0
79villemo,Ex Machina,6.0
79villemo,Anna Karenina,6.0
79villemo,Krudowie,7.0
79villemo,Ludzkie dzieci,6.0
79villemo,Most szpiegów,7.0
79villemo,Pręgi,6.0
79villemo,Patrol,6.0
79villemo,Źródło,6.0
79villemo,Niebezpieczne związki,7.0
79villemo,Niezgodna,7.0
79villemo,Sęp,6.0
79villemo,W dobrej wierze,8.0
79villemo,The Runaways: Prawdziwa historia,6.0
79villemo,Colonia,7.0
79villemo,Django,8.0
79villemo,Zanim się pojawiłeś,7.0
79villemo,Sierpień w hrabstwie Osage,7.0
79villemo,Bezcenny dar,7.0
79villemo,Szczęściarz,6.0
79villemo,Uczeń czarnoksiężnika,7.0
79villemo,Pani Doubtfire,6.0
79villemo,Zapowiedź,6.0
79villemo,Odważna,7.0
79villemo,Stan gry,7.0
79villemo,Jeśli tylko,7.0
79villemo,Kod dostępu,6.0
79villemo,Zwierzogród,7.0
79villemo,Straight Outta Compton,7.0
79villemo,Zeszłej nocy,6.0
79villemo,Zanim zasnę,7.0
79villemo,Ted,5.0
79villemo,Poradnik pozytywnego myślenia,7.0
79villemo,Lekcja przetrwania,5.0
79villemo,Pieśń słonia,7.0
79villemo,Deadpool,6.0
79villemo,Focus,7.0
79villemo,"Zostań, jeśli kochasz",6.0
79villemo,Wiek Adaline,7.0
79villemo,Projektantka,8.0
79villemo,Wielka ucieczka,8.0
79villemo,Adam,7.0
79villemo,Lot,8.0
79villemo,Wszystko jest iluminacją,7.0
79villemo,Najdłuższa podróż,6.0
79villemo,W kręgu miłości,7.0
79villemo,Królestwo,8.0
79villemo,Traffic,7.0
79villemo,Mr. Nobody,8.0
79villemo,Motyl Still Alice,7.0
79villemo,Listy do Pana Boga,6.0
79villemo,Who Am I. Możesz być kim chcesz,7.0
79villemo,Złodziejka książek,7.0
79villemo,Obce niebo,5.0
79villemo,Rozumiemy się bez słów,7.0
79villemo,Człowiek ringu,8.0
79villemo,Sekrety morza,6.0
79villemo,Z dystansu,7.0
79villemo,Kogel-mogel,7.0
79villemo,Juno,7.0
79villemo,Musimy porozmawiać o Kevinie,8.0
79villemo,Głową w mur,6.0
79villemo,Pokój,8.0
79villemo,Big Short,7.0
79villemo,Zjawa,7.0
79villemo,Spotlight,8.0
79villemo,Do utraty sił,8.0
79villemo,Powrót do przyszłości III,7.0
79villemo,Potwory i spółka,8.0
79villemo,Mama,7.0
79villemo,Jeden dzień,8.0
79villemo,1900: Człowiek legenda,7.0
79villemo,Wszystko o mojej matce,6.0
79villemo,Batman - Początek,8.0
79villemo,Chce się żyć,8.0
79villemo,Mroczny Rycerz powstaje,8.0
79villemo,Symetria,7.0
79villemo,Wyścig,8.0
79villemo,Wróg u bram,8.0
79villemo,Ojciec chrzestny III,8.0
79villemo,Mroczny Rycerz,9.0
79villemo,Jack Strong,8.0
79villemo,Teoria spisku,7.0
79villemo,Teoria chaosu,7.0
79villemo,Lęk pierwotny,7.0
79villemo,Podejrzani,7.0
79villemo,Planeta Singli,8.0
79villemo,Przebudzenia,9.0
79villemo,Raport Pelikana,7.0
79villemo,Krwawy sport,5.0
79villemo,Kolekcjoner,6.0
79villemo,Miłość,7.0
79villemo,Sugar Man,7.0
79villemo,Wszyscy mają się dobrze,7.0
79villemo,Marsjanin,8.0
79villemo,101 Dalmatyńczyków,7.0
79villemo,W stronę morza,7.0
79villemo,Mandarynki,8.0
79villemo,W głowie się nie mieści,9.0
79villemo,Keith,8.0
79villemo,Bejbi blues,4.0
79villemo,Whiplash,8.0
79villemo,Wilk z Wall Street,8.0
79villemo,"Strasznie głośno, niesamowicie blisko",7.0
79villemo,Częstotliwość,8.0
79villemo,Hazardziści,8.0
79villemo,Czas zabijania,8.0
79villemo,Bez granic,6.0
79villemo,Motyl i skafander,7.0
79villemo,Zło,8.0
79villemo,Labirynt,8.0
79villemo,Interstellar,9.0
79villemo,Sędzia,7.0
79villemo,Teoria wszystkiego,7.0
79villemo,Gra tajemnic,8.0
79villemo,Niemożliwe,7.0
79villemo,Shrek Trzeci,6.0
79villemo,Strażnicy marzeń,7.0
79villemo,Mary Poppins,7.0
79villemo,Jak ukraść Księżyc,6.0
79villemo,WALL·E,9.0
79villemo,Harry Potter i Insygnia Śmierci: Część II,7.0
79villemo,Step Up 2,7.0
79villemo,Uniwersytet Potworny,7.0
79villemo,"Och, życie",5.0
79villemo,Listy do Julii,5.0
79villemo,Zapaśnik,6.0
79villemo,Auta,7.0
79villemo,Polowanie,8.0
79villemo,Gothika,8.0
79villemo,Czarownica,6.0
79villemo,Merida Waleczna,8.0
79villemo,Układ zamknięty,8.0
79villemo,Harry Potter i Komnata Tajemnic,7.0
79villemo,Hobbit: Bitwa Pięciu Armii,8.0
79villemo,I że cię nie opuszczę,7.0
79villemo,Bezsenność,7.0
79villemo,Jabłka Adama,6.0
79villemo,60 sekund,8.0
79villemo,Minionki rozrabiają,6.0
79villemo,Harry Potter i więzień Azkabanu,7.0
79villemo,Harry Potter i Zakon Feniksa,8.0
79villemo,Gdzie jest Nemo,7.0
79villemo,Madagaskar,7.0
79villemo,Harry Potter i Czara Ognia,8.0
79villemo,Zaplątani,7.0
79villemo,Harry Potter i Kamień Filozoficzny,7.0
79villemo,Witaj w klubie,9.0
79villemo,Słaby punkt,8.0
79villemo,Jak wytresować smoka 2,8.0
79villemo,Operacja Argo,8.0
79villemo,Gwiazd naszych wina,7.0
79villemo,Sam,7.0
79villemo,Miasto gniewu,8.0
79villemo,Zaginiona dziewczyna,8.0
79villemo,Grawitacja,8.0
79villemo,Mój przyjaciel Hachiko,8.0
79villemo,Pulp Fiction,7.0
79villemo,Lot nad kukułczym gniazdem,7.0
79villemo,Nigdy w życiu!,6.0
79villemo,Nagi instynkt,6.0
79villemo,Głupi i głupszy,4.0
79villemo,Dirty Dancing 2,5.0
79villemo,Maska,6.0
79villemo,Straszny film,5.0
79villemo,Chłopiec w pasiastej piżamie,8.0
79villemo,Lejdis,9.0
79villemo,"Saga ""Zmierzch"": Przed świtem. Część 2",7.0
79villemo,Charlie,6.0
79villemo,"Saga ""Zmierzch"": Zaćmienie",7.0
79villemo,Ojciec chrzestny II,9.0
79villemo,Troja,8.0
79villemo,"Saga ""Zmierzch"": Księżyc w nowiu",7.0
79villemo,Człowiek z blizną,8.0
79villemo,Wielka Szóstka,9.0
79villemo,Sierota,5.0
79villemo,Wątpliwość,6.0
79villemo,Pogorzelisko,8.0
79villemo,Kapitan Phillips,8.0
79villemo,Nad życie,6.0
79villemo,Sherlock Holmes: Gra cieni,7.0
79villemo,Bogowie,9.0
79villemo,Czas na miłość,9.0
79villemo,Sekret księgi z Kells,3.0
79villemo,Babe - świnka z klasą,7.0
79villemo,Bridget Jones: W pogoni za rozumem,5.0
79villemo,33 sceny z życia,5.0
79villemo,Wesele,5.0
79villemo,Blair Witch Project,6.0
79villemo,Przed północą,6.0
79villemo,Koneser,8.0
79villemo,Pokłosie,8.0
79villemo,Harry Potter i Książę Półkrwi,7.0
79villemo,Bękarty wojny,7.0
79villemo,Kraina lodu,9.0
79villemo,Wiarołomni,
79villemo,Twój na zawsze,7.0
79villemo,Iluzja,8.0
79villemo,Służące,8.0
79villemo,Hugo i jego wynalazek,9.0
79villemo,Prawo zemsty,6.0
79villemo,Anioły i demony,8.0
79villemo,August Rush,9.0
79villemo,Harry Potter i Insygnia Śmierci: Część I,7.0
79villemo,Różyczka,8.0
79villemo,Nietykalni,8.0
79villemo,Róża,8.0
79villemo,Drzewo życia,5.0
79villemo,Dziewczyna z tatuażem,7.0
79villemo,Światełko w tunelu,7.0
79villemo,Młode wilki,5.0
79villemo,Listy do M.,5.0
79villemo,Człowiek słoń,8.0
79villemo,Znachor,7.0
79villemo,Godziny,7.0
79villemo,Łzy słońca,7.0
79villemo,Rzeka tajemnic,8.0
79villemo,Pan od muzyki,9.0
79villemo,Malowany welon,7.0
79villemo,Wszystko za życie,8.0
79villemo,Avatar,9.0
79villemo,Bez mojej zgody,8.0
79villemo,Dom zły,8.0
79villemo,Wciąż ją kocham,6.0
79villemo,Droga do szczęścia,8.0
79villemo,Samotny mężczyzna,7.0
79villemo,"Saga ""Zmierzch"": Przed świtem. Część 1",6.0
79villemo,"Skóra, w której żyję",7.0
79villemo,Rozstanie,7.0
79villemo,Porozmawiaj z nią,7.0
79villemo,Biutiful,8.0
79villemo,Podwójne życie,7.0
79villemo,Artysta,8.0
79villemo,Czarny książę,7.0
79villemo,Niezwyciężony Secretariat,8.0
79villemo,Nazywam się Khan,8.0
79villemo,Happy Feet: Tupot małych stóp 2,7.0
79villemo,Przypadkowa dziewczyna,6.0
79villemo,Wszystko gra,6.0
79villemo,The Ring,7.0
79villemo,Sala samobójców,8.0
79villemo,Choć goni nas czas,6.0
79villemo,127 godzin,8.0
79villemo,Jestem Bogiem,7.0
79villemo,"Millennium: Dziewczyna, która igrała z ogniem",8.0
79villemo,Oczy szeroko zamknięte,5.0
79villemo,Dziennik Bridget Jones,6.0
79villemo,Stalowe magnolie,6.0
79villemo,Miasto złodziei,6.0
79villemo,Przed zachodem słońca,6.0
79villemo,Nasza klasa,10.0
79villemo,Piękna i szalona,5.0
79villemo,Olej Lorenza,6.0
79villemo,Shrek 2,5.0
79villemo,W sieci zła,6.0
79villemo,Kiedy mężczyzna kocha kobietę,7.0
79villemo,Blue Valentine,6.0
79villemo,Wall Street,6.0
79villemo,Woda dla słoni,8.0
79villemo,Kod nieśmiertelności,6.0
79villemo,Monster,7.0
79villemo,Wehikuł czasu,6.0
79villemo,Urodzeni mordercy,7.0
79villemo,Jak zostać królem,8.0
79villemo,Halloween,6.0
79villemo,Tańcząc w ciemnościach,7.0
79villemo,Love Story,8.0
79villemo,Zmierzch,6.0
79villemo,Czarny łabędź,8.0
79villemo,Nie mów nikomu,6.0
79villemo,Szkoła uwodzenia,7.0
79villemo,Ktoś całkiem obcy,7.0
79villemo,Mała Moskwa,9.0
79villemo,"Ja cię kocham, a ty śpisz",7.0
79villemo,Piotruś Pan,7.0
79villemo,Uprowadzenie Agaty,6.0
79villemo,Ukryte pragnienia,6.0
79villemo,Zaklinacz koni,9.0
79villemo,Malèna,8.0
79villemo,Kolor purpury,8.0
79villemo,Speed: Niebezpieczna prędkość,7.0
79villemo,Good Bye Lenin!,6.0
79villemo,Top Gun,7.0
79villemo,Thelma i Louise,7.0
79villemo,Narzeczony mimo woli,6.0
79villemo,Don Juan DeMarco,8.0
79villemo,Jak stracić chłopaka w 10 dni,7.0
79villemo,W rytmie hip-hopu,7.0
79villemo,Dirty Dancing,7.0
79villemo,Król Lew II: Czas Simby,9.0
79villemo,Apartament,8.0
79villemo,Miasto aniołów,9.0
79villemo,Smażone zielone pomidory,9.0
79villemo,Uwierz w ducha,8.0
79villemo,Słodki listopad,8.0
79villemo,Mój brat niedźwiedź,8.0
79villemo,Bez twarzy,8.0
79villemo,Skarb narodów,7.0
79villemo,The Social Network,8.0
79villemo,Bracia,9.0
79villemo,Pożegnanie z Afryką,9.0
79villemo,"Czasem słońce, czasem deszcz",8.0
79villemo,Ocean's 13,8.0
79villemo,Kiler,8.0
79villemo,Braterstwo wilków,8.0
79villemo,Armageddon,7.0
79villemo,Terminal,7.0
79villemo,Wyścig z czasem,7.0
79villemo,Zupełnie jak miłość,8.0
79villemo,Mamuśka,8.0
79villemo,28 dni,6.0
79villemo,Poznaj mojego tatę,7.0
79villemo,Gia,9.0
79villemo,Zakochany Szekspir,8.0
79villemo,Utalentowany pan Ripley,8.0
79villemo,Prawo Bronxu,7.0
79villemo,Francuski pocałunek,7.0
79villemo,Ostatni król Szkocji,10.0
79villemo,Moja dziewczyna,8.0
79villemo,Zakochany bez pamięci,7.0
79villemo,Egzorcysta,8.0
79villemo,Wszystko będzie dobrze,7.0
79villemo,Ania z Zielonego Wzgórza: Dalsze losy,7.0
79villemo,Psy,7.0
79villemo,Elizabeth,8.0
79villemo,Wierny ogrodnik,8.0
79villemo,P.S. Kocham cię,8.0
79villemo,"Opowieści z Narnii: Lew, czarownica i stara szafa",9.0
79villemo,Niezniszczalny,9.0
79villemo,Wróg publiczny,8.0
79villemo,Vanilla Sky,7.0
79villemo,Pingwiny z Madagaskaru: Misja Świąteczna,8.0
79villemo,Ania z Zielonego Wzgórza: Dalsze dzieje,7.0
79villemo,Skazany na bluesa,8.0
79villemo,Totalna magia,7.0
79villemo,Gdyby jutra nie było,9.0
79villemo,Ania z Zielonego Wzgórza,8.0
79villemo,Między piekłem a niebem,8.0
79villemo,Erin Brockovich,8.0
79villemo,Życie za życie,9.0
79villemo,Przeczucie,8.0
79villemo,Dom nad jeziorem,8.0
79villemo,Lepiej być nie może,8.0
79villemo,Constantine,7.0
79villemo,Uprowadzona,5.0
79villemo,Invictus - Niepokonany,8.0
79villemo,Incepcja,10.0
79villemo,"Millennium: Mężczyźni, którzy nienawidzą kobiet",8.0
79villemo,"Millennium: Zamek z piasku, który runął",9.0
79villemo,Holiday,8.0
79villemo,Opowieści z Narnii: Książę Kaspian,8.0
79villemo,Tylko mnie kochaj,7.0
79villemo,Księżna,9.0
79villemo,Nostalgia anioła,7.0
79villemo,Mr. Brooks,7.0
79villemo,Wpadka,5.0
79villemo,Katyń,7.0
79villemo,21,10.0
79villemo,Polowanie na druhny,7.0
79villemo,Jasminum,7.0
79villemo,Pachnidło: Historia mordercy,8.0
79villemo,Monachium,9.0
79villemo,Kochanice króla,9.0
79villemo,Egzorcyzmy Emily Rose,8.0
79villemo,Pokuta,8.0
79villemo,Niepokój,6.0
79villemo,Jak wytresować smoka,7.0
79villemo,Spacer w chmurach,7.0
79villemo,Grease,8.0
79villemo,Człowiek pies,9.0
79villemo,Zabójcza broń,8.0
79villemo,Ścigany,8.0
79villemo,Sherlock Holmes,9.0
79villemo,Nic śmiesznego,8.0
79villemo,Krucjata Bourne'a,9.0
79villemo,Granice miłości,7.0
79villemo,Zabójczy numer,8.0
79villemo,Szkoła uczuć,8.0
79villemo,Chłopięcy świat,7.0
79villemo,Titanic,10.0
79villemo,Romeo i Julia,7.0
79villemo,Wywiad z wampirem,8.0
79villemo,Matrix Reaktywacja,8.0
79villemo,Dzień świstaka,8.0
79villemo,Ratatuj,8.0
79villemo,Tato,7.0
79villemo,Ocean's Eleven: Ryzykowna gra,9.0
79villemo,Pasja,10.0
79villemo,Volver,7.0
79villemo,Tożsamość Bourne'a,8.0
79villemo,Siedem lat w Tybecie,7.0
79villemo,Twierdza,8.0
79villemo,Apocalypto,8.0
79villemo,Życie na podsłuchu,9.0
79villemo,Dobry rok,7.0
79villemo,Terminator,7.0
79villemo,Powrót do przyszłości II,8.0
79villemo,Przerwana lekcja muzyki,8.0
79villemo,Omen,8.0
79villemo,Hotel Ruanda,10.0
79villemo,Uśpieni,9.0
79villemo,Cube,7.0
79villemo,Matrix Rewolucje,9.0
79villemo,Tajemnica Brokeback Mountain,7.0
79villemo,Wichrowe wzgórza,8.0
79villemo,Plan doskonały,8.0
79villemo,Małe kobietki,7.0
79villemo,Ostatni Mohikanin,7.0
79villemo,Gran Torino,9.0
79villemo,Zaklęci w czasie,8.0
79villemo,Ojciec chrzestny,10.0
79villemo,Memento,10.0
79villemo,Ultimatum Bourne'a,9.0
79villemo,Iluzjonista,8.0
79villemo,Plac Zbawiciela,8.0
79villemo,Wyznania gejszy,8.0
79villemo,W pogoni za szczęściem,10.0
79villemo,Joe Black,7.0
79villemo,Labirynt fauna,8.0
79villemo,Dług,9.0
79villemo,Buntownik z wyboru,8.0
79villemo,Chłopaki nie płaczą,6.0
79villemo,Prestiż,10.0
79villemo,Młodzi gniewni,7.0
79villemo,Lektor,8.0
79villemo,Pamiętnik,8.0
79villemo,Przesłuchanie,8.0
79villemo,Zakochany kundel,9.0
79villemo,Gattaca - Szok przyszłości,8.0
79villemo,Edward Nożycoręki,8.0
79villemo,Życie jest piękne,10.0
79villemo,Pianista,10.0
79villemo,Sprawa Kramerów,7.0
79villemo,Dziecko Rosemary,8.0
79villemo,Przed wschodem słońca,9.0
79villemo,Upadek,8.0
79villemo,Wichry namiętności,9.0
79villemo,Amelia,8.0
79villemo,Rain Man,7.0
79villemo,Gnijąca panna młoda,7.0
